AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P317,P318,P319,P319A,P320,P203,P204,P205,P206,P207,P208,P209,IMPUTADO,TICUEST01A,CUESTIONARIOREDUCIDO,TIPOENTREVISTA,FACTOR07,FACTOR_P,NCONGLOME,SUB_CONGLOME
2020,01,007037,040,11,04,120205,5,8,02,1,2, , , ,3,1,2, ,2,10, , ,2,0,1,177.269617761481,393.011038206062,031633,00
2020,01,007089,106,11,04,130105,1,1,02,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,584.193497160086,1095.96151933015,010245,00
2020,01,007110,060,11,04,130101,1,1,02,1,1,1,12,7,3,1,2, ,2,10, , ,2,0,1,301.788703983312,646.810127888036,010481,00
2020,01,007149,128,11,05,130102,1,1,01,1,1,2, , ,3,1,2, ,1,7, , ,2,0,1,454.792130943248,1168.99170799741,010969,00
2020,01,007182,089,11,04,130701,1,5,02,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,250.187369284802,643.078320787541,009900,00
2020,01,007182,107,11,04,130701,1,5,03,1,2, , , ,5,1,2, ,1,8, , ,2,0,1,250.187369284802,643.078320787541,009900,00
2020,01,007193,016,11,03,130204,1,5,02,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,404.264500771353,780.984734551253,010061,00
2020,01,007193,098,11,06,130204,1,5,03,1,1,1,6,4,5,1,2, ,2,9, , ,2,0,1,404.264500771353,780.984734551253,010061,00
2020,01,007210,010,11,05,130107,1,4,02,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,591.755380907765,1143.19193811438,011280,00
2020,01,007235,005,11,04,131202,1,5,01,1,1,1,12,1,5,1,2, ,2,8, , ,2,0,1,396.507064903701,1019.17654254329,012037,00
2020,01,007235,095,11,02,131202,1,5,01,1,2, , , ,3,1,2, ,1,8, , ,2,0,1,396.507064903701,1019.17654254329,012037,00
2020,01,007239,135,11,04,130701,1,7,02,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,263.411630320276,311.282653920923,009923,00
2020,01,007248,157,11,05,130614,4,7,02,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,240.031196937277,745.284332748385,011428,00
2020,01,007253,015,11,03,130611,4,7,01,1,1,1,7,7,3,1,2, ,2,9, , ,2,0,1,240.031196937277,745.284332748385,011489,00
2020,01,007253,102,11,03,130611,4,7,02,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,240.031196937277,745.284332748385,011489,00
2020,01,007257,054,11,06,130901,4,7,02,1,1,2, , ,3,1,2, ,1,7, , ,2,0,1,240.031196937277,745.284332748385,011579,00
2020,01,007364,036,11,05,140106,1,2,02,1,2, , , ,3,1,2, ,2,9, , ,2,0,1,420.980401379248,775.984318666219,003981,00
2020,01,007424,032,11,03,140119,1,5,01,1,1,1,3,4,3,1,2, ,1,9, , ,2,0,1,304.3227735623,560.951766783664,004258,00
